JAARTAL,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter
2018,De Ruyterkade Steigers,1011AA,1011AB,0,35,10,3,31,3x25,14403,4,2
2018,De Ruyterkade,1011AC,1011AC,0,39,10,5,28,3x80,18739,5,2
2018,De Ruyterkade,1011AC,1011AC,1,24,10,7,38,G6,6589,0,2
2018,Oosterdokskade,1011AD,1011AD,0,19,10,0,58,3x25,4026,5,0
2018,Oosterdokskade,1011AD,1011AE,1,11,10,0,82,G4,710,0,0
2018,Oosterdokskade AB,1011AE,1011AE,0,19,10,1,63,3x25,3184,4,0
2018,Prins Hendrikkade,1011AG,1011AG,0,14,10,9,29,1x35,20376,5,3
2018,Prins Hendrikkade,1011AG,1011AH,1,27,10,9,96,G4,2756,0,2
2018,Prins Hendrikkade,1011AH,1011AH,0,21,10,9,67,1x25,4170,2,0
2018,Prins Hendrikkade,1011AJ,1011AJ,0,21,10,9,48,1x35,8036,4,3
2018,Prins Hendrikkade,1011AJ,1011AJ,1,16,10,9,69,G4,1600,0,4
2018,Prins Hendrikkade,1011AK,1011AK,0,13,10,5,46,3x25,9676,4,0
2018,Houtkopersdwarsstraat,1011AL,1011AM,0,16,10,8,44,3x25,12731,7,5
2018,Prins Hendrikkade,1011AM,1011AN,1,29,10,9,83,G4,2171,0,5
2018,Prins Hendrikkade,1011AN,1011AN,0,29,10,7,38,1x35,2547,5,4
2018,Prins Hendrikkade,1011AP,1011AP,0,20,10,6,50,1x35,6169,6,4
2018,Prins Hendrikkade,1011AP,1011AP,1,19,10,7,89,G4,3190,0,4
2018,Prins Hendrikkade,1011AR,1011AR,0,32,10,9,44,1x35,7541,3,1
2018,Prins Hendrikkade,1011AR,1011AR,1,19,10,9,63,G4,2149,0,2
2018,Prins Hendrikkade,1011AS,1011AS,0,11,10,6,45,3x25,5247,6,1
2018,Prins Hendrikkade,1011AS,1011AV,1,22,10,9,73,G4,4562,0,4
2018,Prins Hendrikkade,1011AT,1011AT,0,14,10,9,36,3x25,7889,4,2
2018,Prins Hendrikkade,1011AV,1011AV,0,18,10,8,44,3x25,3988,5,4
2018,Prins Hendrikkade,1011AW,1011AW,0,20,10,9,55,1x35,2395,4,2
2018,Prins Hendrikkade,1011AW,1011AW,1,13,10,9,92,G4,1276,0,2
2018,Buiten Bantammerstraat,1011AX,1011AX,0,17,10,8,59,3x25,3906,8,6
2018,Buiten Bantammerstraat,1011AX,1011AX,1,14,10,9,93,G4,2116,0,7
2018,Schippersstraat,1011AZ,1011AZ,0,30,10,7,53,1x35,2967,10,7
2018,Schippersstraat,1011AZ,1011AZ,1,30,10,6,97,G4,1417,0,6
2018,Schippersstraat,1011BA,1011BA,0,19,9,3,68,3x25,2228,6,3
2018,Schippersstraat,1011BA,1011BA,1,15,10,3,87,G4,1103,0,3
2018,Schippersstraat,1011BB,1011BC,0,24,10,9,50,1x35,3241,5,4
2018,Schippersstraat,1011BB,1011BC,1,22,10,9,91,G4,2058,0,4
2018,Kalkmarkt,1011BD,1011BD,0,30,9,7,60,3x25,3349,5,4
2018,Kalkmarkt,1011BD,1011BD,1,20,10,9,90,G4,1891,0,6
2018,Binnenkant AB,1011BE,1011BG,0,30,10,6,47,1x35,2712,2,0
2018,Binnenkant AB,1011BE,1011BG,1,16,10,9,88,G4,2022,0,1
2018,Binnenkant,1011BH,1011BH,0,34,10,9,50,1x35,3105,6,4
2018,Binnenkant,1011BH,1011BH,1,31,10,9,84,G4,1854,0,4
2018,Binnenkant,1011BJ,1011BJ,0,22,10,9,45,3x25,5658,4,1
2018,Binnenkant,1011BJ,1011BJ,1,16,10,9,69,G4,2629,0,2
2018,Binnenkant,1011BK,1011BK,0,16,10,9,50,1x35,2159,2,1
2018,Binnenkant,1011BK,1011BK,1,14,10,9,86,G4,1483,0,1
2018,Binnenkant,1011BL,1011BM,0,23,10,9,87,1x35,2020,4,2
2018,Binnenkant,1011BL,1011BM,1,20,10,9,85,G4,1323,0,1
2018,Binnenkant,1011BN,1011BN,0,21,10,7,67,3x25,2882,2,1
2018,Binnenkant,1011BN,1011BN,1,15,10,8,73,G4,1505,0,2
2018,Binnenkant,1011BP,1011BP,0,18,10,8,78,3x25,2643,2,0
2018,Binnenkant,1011BP,1011BP,1,15,10,9,87,G4,2683,0,0
2018,Binnenkant,1011BR,1011BR,0,15,10,9,67,1x35,1794,3,1
2018,Binnenkant,1011BR,1011BR,1,11,10,9,100,G4,1453,0,1
2018,Kromme Waal,1011BS,1011BS,0,32,10,7,59,3x25,2948,6,5
2018,Kromme Waal,1011BS,1011BS,1,32,10,5,75,G4,1838,0,4
2018,Kromme Waal,1011BT,1011BT,0,31,9,9,48,3x25,2337,5,4
2018,Kromme Waal,1011BT,1011BT,1,27,10,9,89,G4,1549,0,4
