OBJECTNUMMER;Postcode4;Opp_m2;COORDS;LNG;LAT;
1;"1082";1469377;"POLYGON((4.868687 52.338103,4.872005 52.338273,4.873435 52.338332,4.875216 52.338359,4.880617 52.33836,4.880383 52.337449,4.880425 52.335308,4.881693 52.335007,4.881682 52.334395,4.88091 52.333546,4.880923 52.329405,4.880849 52.328075,4.880741 52.327871,4.880793 52.327164,4.88082 52.326525,4.880511 52.326141,4.880518 52.32559,4.880825 52.322137,4.878113 52.322087,4.869147 52.321928,4.868884 52.327316,4.868863 52.329134,4.86883 52.334985,4.868687 52.338103))";"4,87518905";"52,33014195";
2;"1102";3139699;"POLYGON((4.956755 52.324039,4.963566 52.31659,4.965179 52.314811,4.971421 52.307989,4.955402 52.30249,4.955333 52.30257,4.955061 52.302802,4.954985 52.302886,4.953137 52.304952,4.952492 52.305699,4.952097 52.30607,4.947751 52.310538,4.946359 52.312055,4.948101 52.312017,4.947019 52.31335,4.945073 52.313462,4.943972 52.314666,4.943925 52.314813,4.943948 52.314873,4.943718 52.315131,4.943617 52.315128,4.942965 52.31575,4.942979 52.315825,4.942951 52.315963,4.941952 52.317451,4.941416 52.317943,4.940914 52.318506,4.940693 52.318533,4.940257 52.319056,4.940354 52.319157,4.94021 52.319328,4.941046 52.319614,4.940489 52.32034,4.940377 52.320501,4.940209 52.320809,4.940075 52.321147,4.939994 52.321444,4.93993 52.32193,4.939765 52.322023,4.939575 52.322106,4.939448 52.322173,4.939142 52.322383,4.938949 52.322498,4.93863 52.322733,4.938521 52.322797,4.938371 52.322833,4.938259 52.322895,4.938 52.323056,4.937805 52.323229,4.937623 52.323294,4.937861 52.323754,4.937965 52.324117,4.938268 52.324139,4.938552 52.324184,4.938615 52.32421,4.938694 52.32428,4.939322 52.32477,4.93937 52.32483,4.939465 52.324908,4.939856 52.325186,4.939862 52.325183,4.939889 52.325201,4.939979 52.325281,4.940352 52.32555,4.940497 52.325672,4.947662 52.328133,4.95268 52.322638,4.955004 52.323439,4.954988 52.323457,4.955029 52.323472,4.955046 52.323453,4.955177 52.323496,4.956755 52.324039))";"4,9545209";"52,3153104";
3;"1101";5292105;"POLYGON((4.94021 52.319328,4.940354 52.319157,4.940257 52.319056,4.940693 52.318533,4.940914 52.318506,4.941416 52.317943,4.941952 52.317451,4.942951 52.315963,4.942979 52.315825,4.942965 52.31575,4.943617 52.315128,4.943718 52.315131,4.943948 52.314873,4.943925 52.314813,4.943972 52.314666,4.945073 52.313462,4.947019 52.31335,4.948101 52.312017,4.946359 52.312055,4.947751 52.310538,4.952097 52.30607,4.952492 52.305699,4.953137 52.304952,4.954985 52.302886,4.955061 52.302802,4.955333 52.30257,4.955402 52.30249,4.955749 52.302091,4.9561 52.301724,4.958446 52.29918,4.959319 52.298205,4.959583 52.29801,4.960179 52.297347,4.961004 52.296293,4.960959 52.296239,4.961159 52.296007,4.961748 52.295374,4.963192 52.293875,4.963671 52.293304,4.963962 52.293049,4.965846 52.290997,4.966019 52.290854,4.966288 52.290458,4.969309 52.287123,4.969745 52.286609,4.970005 52.286362,4.971842 52.284355,4.97136 52.284036,4.970901 52.283782,4.970669 52.283641,4.970268 52.283424,4.969989 52.283246,4.96991 52.283185,4.969856 52.28316,4.96975 52.283126,4.969723 52.283109,4.969382 52.281951,4.969394 52.281819,4.969377 52.281776,4.969242 52.281617,4.969212 52.281571,4.969147 52.281417,4.96903 52.28126,4.968974 52.281161,4.968817 52.280968,4.968783 52.280886,4.968757 52.28072,4.968706 52.280679,4.968545 52.280604,4.96833 52.280407,4.96821 52.280265,4.96807 52.280054,4.96788 52.279837,4.967677 52.279577,4.967579 52.279556,4.96752 52.279597,4.967408 52.279651,4.966845 52.279872,4.966732 52.279926,4.966627 52.279987,4.966494 52.280091,4.966404 52.280194,4.966329 52.280336,4.9663 52.280457,4.96628 52.280774,4.966255 52.280881,4.966224 52.280965,4.966169 52.280974,4.965983 52.280833,4.965805 52.280643,4.965713 52.280573,4.965617 52.280524,4.965517 52.280488,4.965319 52.280443,4.965134 52.280409,4.964847 52.280377,4.964679 52.280375,4.964261 52.280402,4.964161 52.280402,4.96393 52.280387,4.963327 52.280308,4.963189 52.280298,4.96255 52.28028,4.962384 52.280255,4.962322 52.280238,4.962249 52.280203,4.962178 52.280159,4.962134 52.280111,4.96188 52.279707,4.961636 52.279179,4.961499 52.278837,4.961339 52.27852,4.961257 52.278388,4.961057 52.278169,4.960765 52.278236,4.960476 52.278287,4.960301 52.278312,4.959971 52.278341,4.959656 52.278349,4.958859 52.278324,4.958667 52.278337,4.958417 52.278398,4.95805 52.278534,4.957812 52.278607,4.957492 52.278648,4.957147 52.278665,4.956776 52.278666,4.956567 52.278636,4.95574 52.278413,4.955246 52.278301,4.953765 52.280166,4.951842 52.282438,4.952095 52.282529,4.947679 52.287218,4.94699 52.287961,4.94641 52.288557,4.946459 52.288575,4.937084 52.29944,4.937143 52.299464,4.937048 52.299578,4.936033 52.300721,4.934872 52.301937,4.93494 52.301963,4.93414 52.302734,4.933688 52.303098,4.933221 52.303548,4.932724 52.304257,4.932491 52.30447,4.931686 52.30502,4.930497 52.306158,4.930259 52.306425,4.929477 52.307409,4.929829 52.30751,4.92942 52.307824,4.929912 52.308098,4.929332 52.308527,4.929619 52.308808,4.929974 52.308986,4.930307 52.309177,4.930068 52.309334,4.930436 52.309539,4.93166 52.310262,4.932404 52.310739,4.934142 52.311898,4.936356 52.312658,4.935233 52.313883,4.938728 52.315085,4.938741 52.31563,4.938656 52.315792,4.938121 52.316376,4.938045 52.3165,4.939834 52.317114,4.939994 52.317465,4.940255 52.318097,4.940312 52.318196,4.940335 52.318296,4.939589 52.319114,4.94021 52.319328))";"4,9505858";"52,298747";
4;"1107";2029641;"POLYGON((4.961748 52.295374,4.962318 52.295574,4.962518 52.295396,4.962664 52.295285,4.962859 52.295151,4.963027 52.295051,4.963248 52.294934,4.963505 52.294812,4.963686 52.294738,4.963989 52.294631,4.964219 52.294561,4.964485 52.294493,4.964756 52.294436,4.965065 52.294385,4.965311 52.294354,4.965624 52.294328,4.965938 52.294316,4.966228 52.294317,4.966584 52.294333,4.966809 52.294353,4.967474 52.294443,4.9697 52.29482,4.971656 52.295186,4.976621 52.296023,4.977388 52.296137,4.978218 52.296226,4.978888 52.296275,4.979559 52.2963,4.982045 52.296314,4.98546 52.29632,5.003248 52.29639,5.003242 52.296081,5.003229 52.296059,5.003183 52.296036,5.003112 52.296014,5.002819 52.29604,5.002598 52.296039,5.002486 52.296029,5.002385 52.296015,5.0021 52.295926,5.001854 52.295873,5.001854 52.295718,5.001841 52.2956,5.001856 52.29536,5.001827 52.294272,5.001834 52.294208,5.001817 52.293404,5.0018 52.29317,5.001804 52.293049,5.001836 52.292916,5.001824 52.292836,5.001792 52.292787,5.001375 52.292477,5.001356 52.292457,5.001335 52.292402,5.001252 52.292324,5.000818 52.291951,5.000677 52.291847,5.000542 52.291717,4.999238 52.29061,4.99885 52.290272,4.998817 52.290234,4.998767 52.290213,4.998666 52.290226,4.998553 52.290228,4.99852 52.290173,4.998455 52.289833,4.998329 52.289828,4.99829 52.289802,4.997762 52.289343,4.997478 52.289113,4.995536 52.289217,4.995022 52.289225,4.994102 52.289283,4.99337 52.289351,4.992646 52.289406,4.991169 52.289548,4.990447 52.289599,4.987573 52.289891,4.985116 52.290165,4.983509 52.290362,4.983368 52.290218,4.983088 52.289886,4.982982 52.289783,4.98292 52.289662,4.982887 52.289634,4.982751 52.289584,4.98262 52.289518,4.982469 52.28946,4.982345 52.289422,4.982193 52.289344,4.982053 52.2893,4.981668 52.289143,4.981345 52.28899,4.980961 52.288864,4.980448 52.288639,4.980115 52.288505,4.979791 52.288345,4.979237 52.288093,4.978571 52.287834,4.977282 52.287262,4.976393 52.286857,4.976119 52.286746,4.975939 52.286642,4.975151 52.286337,4.974939 52.286219,4.974775 52.286086,4.973716 52.285439,4.973463 52.285335,4.973244 52.285225,4.973173 52.28516,4.973104 52.28504,4.973075 52.285016,4.972956 52.284986,4.972826 52.28494,4.972615 52.284841,4.972398 52.284711,4.971842 52.284355,4.970005 52.286362,4.969745 52.286609,4.969309 52.287123,4.966288 52.290458,4.966019 52.290854,4.965846 52.290997,4.963962 52.293049,4.963671 52.293304,4.963192 52.293875,4.961748 52.295374))";"4,98249715";"52,29037185";
5;"1103";2041467;"POLYGON((4.991675 52.324431,4.982315 52.321234,4.97971 52.320272,4.978977 52.321528,4.978104 52.32059,4.977689 52.320179,4.977585 52.320097,4.977037 52.319742,4.976945 52.319665,4.976568 52.31927,4.976451 52.319192,4.976336 52.319146,4.976207 52.319115,4.976071 52.319102,4.975719 52.319103,4.975569 52.319129,4.974923 52.319365,4.974859 52.319401,4.974451 52.319942,4.974411 52.319979,4.974356 52.320012,4.974275 52.32004,4.974186 52.320053,4.973565 52.320064,4.973467 52.320049,4.973418 52.32003,4.973368 52.319997,4.972671 52.319275,4.972595 52.319222,4.972519 52.319189,4.972412 52.319163,4.97232 52.319156,4.971088 52.319166,4.970975 52.31916,4.970827 52.319127,4.967595 52.318019,4.9675 52.317939,4.967095 52.3178,4.966999 52.317721,4.965344 52.317153,4.964411 52.316875,4.963566 52.31659,4.956755 52.324039,4.962513 52.32603,4.967545 52.327752,4.969214 52.326777,4.969612 52.326512,4.970258 52.326164,4.970864 52.32648,4.970991 52.326561,4.971119 52.326656,4.971223 52.326765,4.971367 52.326952,4.971811 52.327467,4.972156 52.32771,4.973418 52.328468,4.974029 52.328901,4.97451 52.329321,4.974838 52.32971,4.975006 52.329971,4.97531 52.330556,4.975639 52.330601,4.975965 52.33063,4.976347 52.330644,4.977139 52.330636,4.97795 52.331154,4.97835 52.331071,4.979803 52.330997,4.980513 52.330777,4.980687 52.330755,4.981138 52.330764,4.981653 52.330799,4.982523 52.330798,4.983358 52.330741,4.983969 52.330661,4.984479 52.330558,4.984792 52.330475,4.98495 52.330422,4.985102 52.330357,4.985305 52.330253,4.985501 52.330138,4.986372 52.329593,4.98703 52.329111,4.987302 52.328924,4.987651 52.328723,4.988631 52.32821,4.989049 52.327979,4.989205 52.32787,4.989477 52.327659,4.989607 52.327541,4.989942 52.327204,4.990577 52.326534,4.990749 52.326336,4.990894 52.326136,4.991069 52.325791,4.991511 52.324746,4.991675 52.324431))";"4,97421405";"52,32387065";
6;"1014";2488088;"POLYGON((4.844318 52.395296,4.844406 52.395583,4.844556 52.395991,4.844684 52.39628,4.844846 52.3966,4.845069 52.396988,4.845334 52.397387,4.845564 52.397693,4.845829 52.398013,4.846253 52.398469,4.846476 52.398685,4.846748 52.398929,4.847209 52.399324,4.849346 52.401099,4.850355 52.400643,4.851497 52.399988,4.852554 52.399434,4.853045 52.399206,4.860905 52.395688,4.861485 52.395438,4.862035 52.395163,4.862298 52.395017,4.862797 52.394708,4.863258 52.394378,4.864928 52.39301,4.865545 52.393139,4.865625 52.392981,4.866042 52.393068,4.866317 52.393112,4.867889 52.392423,4.870329 52.391295,4.870855 52.391063,4.871233 52.39091,4.871412 52.390954,4.877786 52.388117,4.878769 52.387699,4.879041 52.387595,4.881034 52.386895,4.880492 52.385737,4.879882 52.385707,4.874999 52.385637,4.860673 52.385386,4.855658 52.385297,4.855247 52.385295,4.855107 52.3853,4.852973 52.385248,4.847176 52.385151,4.846197 52.385151,4.845604 52.385161,4.845284 52.385145,4.845032 52.385111,4.844813 52.3851,4.844813 52.385134,4.844798 52.385138,4.844733 52.386376,4.844761 52.386914,4.844673 52.388481,4.844664 52.388749,4.844689 52.388748,4.844687 52.388912,4.844662 52.388912,4.844664 52.388891,4.844371 52.388891,4.844117 52.393696,4.844127 52.394128,4.844174 52.394599,4.844233 52.394937,4.844318 52.395296))";"4,86257455";"52,39309975";
7;"1056";1032284;"POLYGON((4.843011 52.375356,4.844553 52.375131,4.845558 52.375191,4.846091 52.375235,4.846492 52.375287,4.846872 52.375351,4.848344 52.375665,4.851884 52.376321,4.852964 52.376399,4.85669 52.37682,4.85692 52.376999,4.857693 52.377091,4.85993 52.377334,4.860251 52.37726,4.863583 52.377759,4.864636 52.37486,4.864689 52.374749,4.864765 52.374634,4.864858 52.374528,4.864944 52.374447,4.867236 52.372533,4.866358 52.371579,4.865027 52.370131,4.864039 52.370479,4.863265 52.370841,4.862997 52.370919,4.859968 52.371491,4.859773 52.371509,4.859608 52.371506,4.858893 52.371438,4.857888 52.371318,4.856981 52.37119,4.853694 52.370628,4.850265 52.370031,4.847745 52.369603,4.847629 52.369857,4.847003 52.369761,4.846617 52.36971,4.846091 52.369657,4.845639 52.369627,4.845222 52.369613,4.842569 52.36958,4.842562 52.369821,4.842572 52.369999,4.84272 52.370921,4.842799 52.371855,4.842854 52.371871,4.842855 52.371905,4.843028 52.371903,4.843038 52.372207,4.842137 52.372233,4.84224 52.37298,4.842336 52.373443,4.842407 52.373726,4.842642 52.374449,4.843011 52.375356))";"4,8546855";"52,37366765";
8;"1037";748638;"POLYGON((4.865796 52.416182,4.864987 52.41646,4.864252 52.415831,4.864134 52.415766,4.864014 52.415749,4.863508 52.41591,4.863054 52.416077,4.862882 52.416093,4.862162 52.415959,4.857969 52.417066,4.857809 52.417162,4.857726 52.417307,4.857685 52.417403,4.857684 52.417509,4.857707 52.417549,4.857212 52.417686,4.859477 52.41976,4.859638 52.419948,4.859759 52.420169,4.859837 52.420375,4.859874 52.420508,4.859891 52.420642,4.859888 52.420777,4.859861 52.420984,4.859814 52.42112,4.859731 52.421273,4.859489 52.421604,4.858208 52.423272,4.857989 52.423583,4.857913 52.423723,4.857853 52.42389,4.857818 52.424173,4.857824 52.424268,4.857868 52.424473,4.857954 52.424711,4.858026 52.424838,4.858117 52.424971,4.858249 52.425115,4.858394 52.425247,4.860891 52.427424,4.86246 52.428769,4.862569 52.428913,4.862676 52.429098,4.862713 52.42919,4.862752 52.429371,4.86274 52.429501,4.862709 52.429592,4.862812 52.429616,4.862685 52.429934,4.862859 52.429962,4.864194 52.430257,4.864213 52.430367,4.864885 52.430506,4.86502 52.430542,4.865143 52.430534,4.865264 52.430536,4.865393 52.430557,4.865579 52.430611,4.865971 52.430671,4.86619 52.43065,4.866697 52.430665,4.866998 52.430637,4.867934 52.430516,4.868371 52.430414,4.86875 52.430309,4.86892 52.430252,4.868968 52.430228,4.869703 52.429739,4.869835 52.429818,4.869865 52.429851,4.869901 52.429924,4.86994 52.429961,4.86998 52.429983,4.870102 52.430012,4.870204 52.430061,4.870278 52.43013,4.870603 52.430352,4.870747 52.430388,4.870964 52.430181,4.871428 52.430102,4.871727 52.430036,4.872107 52.42991,4.872231 52.429857,4.872453 52.429738,4.87265 52.429601,4.872678 52.4296,4.872743 52.429535,4.873053 52.429549,4.873254 52.429536,4.873342 52.429479,4.873402 52.429379,4.87355 52.42905,4.874119 52.427957,4.874227 52.427964,4.87525 52.427052,4.875484 52.426869,4.875721 52.426699,4.875973 52.426539,4.876239 52.426391,4.876619 52.426228,4.876579 52.426221,4.876562 52.426104,4.876191 52.425368,4.875832 52.424747,4.875436 52.424133,4.87507 52.423619,4.874586 52.423001,4.874329 52.422731,4.874032 52.422476,4.873698 52.42224,4.873424 52.422076,4.87313 52.421925,4.872305 52.421543,4.871553 52.421166,4.870685 52.420689,4.869992 52.420272,4.869681 52.420053,4.869385 52.419827,4.868902 52.419417,4.868422 52.418954,4.867768 52.418262,4.865796 52.416182),(4.870891 52.425342,4.870742 52.425657,4.869661 52.427112,4.869191 52.427804,4.86904 52.427786,4.868861 52.42781,4.868419 52.428439,4.868227 52.428665,4.867906 52.428929,4.867168 52.429166,4.866835 52.429256,4.865812 52.429527,4.865278 52.429635,4.865022 52.429636,4.864803 52.429608,4.864251 52.429508,4.863682 52.429383,4.863678 52.429155,4.86365 52.429035,4.863582 52.428903,4.863372 52.428638,4.862768 52.428126,4.864045 52.427909,4.864282 52.427894,4.864454 52.427919,4.864572 52.427968,4.864623 52.428033,4.864635 52.428146,4.864607 52.428259,4.864501 52.428412,4.864446 52.42854,4.864496 52.428832,4.864599 52.428936,4.86473 52.429034,4.864875 52.429099,4.865047 52.429149,4.865217 52.429165,4.865455 52.429158,4.865865 52.429087,4.866844 52.428801,4.867306 52.428685,4.867494 52.42853,4.867501 52.42837,4.867367 52.428255,4.867051 52.428237,4.866971 52.428271,4.866795 52.428519,4.866407 52.428737,4.865762 52.428918,4.865407 52.428979,4.865234 52.428985,4.865134 52.428975,4.864935 52.428903,4.864776 52.428768,4.864742 52.428559,4.86478 52.42847,4.864893 52.428308,4.86493 52.428154,4.864913 52.427986,4.864802 52.427846,4.864573 52.427752,4.864302 52.427713,4.86399 52.427732,4.862551 52.427935,4.860924 52.426492,4.859132 52.42495,4.85879 52.424613,4.858723 52.424467,4.858695 52.424345,4.858686 52.423996,4.858737 52.423882,4.858898 52.423598,4.859934 52.422339,4.860405 52.42172,4.860654 52.421291,4.860732 52.421061,4.860775 52.420757,4.860918 52.420737,4.861004 52.420695,4.861059 52.420634,4.860954 52.420121,4.864132 52.419183,4.866689 52.422593,4.867001 52.422925,4.867302 52.423152,4.867666 52.423391,4.868414 52.42383,4.868887 52.424017,4.870226 52.424483,4.87053 52.42463,4.870739 52.424801,4.870869 52.424971,4.87092 52.425165,4.870891 52.425342),(4.863731 52.419037,4.863104 52.419238,4.862693 52.419396,4.862375 52.419455,4.862016 52.419626,4.860913 52.419926,4.860777 52.419955,4.86063 52.419941,4.860172 52.419507,4.859819 52.419216,4.858752 52.418269,4.858645 52.418138,4.858616 52.418023,4.858897 52.417581,4.859018 52.417476,4.859217 52.41738,4.861758 52.416713,4.861936 52.416684,4.862108 52.416701,4.862226 52.416741,4.862474 52.416912,4.863936 52.418938,4.863731 52.419037))";"4,8669145";"52,42320915";
9;"1073";588245;"POLYGON((4.892867 52.358238,4.898039 52.357927,4.898259 52.357941,4.898561 52.357971,4.89881 52.358006,4.899246 52.358093,4.899333 52.357696,4.899795 52.356655,4.901245 52.354821,4.901626 52.35432,4.901999 52.353908,4.902548 52.353251,4.902823 52.352768,4.903032 52.352164,4.904195 52.349067,4.896227 52.347959,4.895263 52.348005,4.895296 52.34826,4.894642 52.35002,4.894543 52.350432,4.894559 52.350563,4.894774 52.351421,4.8946 52.351881,4.894912 52.351929,4.894837 52.35262,4.894789 52.352887,4.894556 52.353242,4.894575 52.353246,4.893653 52.354493,4.893325 52.355031,4.892894 52.355931,4.89258 52.356032,4.892867 52.358238))";"4,8983864";"52,3530969";
10;"1098";2949213;"POLYGON((4.928232 52.355329,4.929878 52.356059,4.933244 52.356808,4.936626 52.357521,4.937022 52.357573,4.937147 52.357684,4.937431 52.357733,4.937798 52.357781,4.940465 52.358374,4.940729 52.3584,4.940947 52.358407,4.941137 52.358405,4.944682 52.358256,4.952941 52.3579,4.957088 52.357761,4.958438 52.357785,4.958464 52.357683,4.959416 52.357629,4.959891 52.357629,4.960652 52.357472,4.960923 52.357323,4.961989 52.356813,4.962372 52.357207,4.963587 52.356869,4.964214 52.356744,4.964693 52.356664,4.966076 52.356486,4.969466 52.355823,4.969371 52.355628,4.969334 52.355634,4.969318 52.355604,4.969505 52.355571,4.969526 52.355492,4.969226 52.355323,4.96874 52.355082,4.968313 52.354921,4.967924 52.354806,4.966849 52.354387,4.966527 52.354273,4.96636 52.354231,4.966257 52.354184,4.966244 52.354157,4.966061 52.354379,4.965826 52.354691,4.96496 52.353269,4.96254 52.350361,4.96137 52.348846,4.959934 52.347442,4.95988 52.347211,4.959701 52.346923,4.958077 52.345329,4.957006 52.344344,4.956562 52.343871,4.955023 52.342327,4.953841 52.341055,4.953057 52.340364,4.952734 52.340153,4.952524 52.340252,4.951925 52.340561,4.950302 52.341459,4.948713 52.342468,4.946767 52.343686,4.946035 52.344084,4.945638 52.344331,4.944483 52.345079,4.942966 52.346012,4.941522 52.346919,4.939875 52.347976,4.93911 52.348434,4.937496 52.349421,4.935501 52.350665,4.934775 52.351135,4.933237 52.352055,4.93056 52.353738,4.929679 52.354302,4.928549 52.35505,4.928232 52.355329))";"4,948878";"52,3492784";
